VIDEO_NUM,PAIR,INITIATIVE_F,INITIATIVE_M,F0,F1,F2,F3,F4,F5,F6,F7,F8,M0,M1,M2,M3,M4,M5,M6,M7,M8,ME,ACTION,STIMILUS_NAME,VALENCE
1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,817870.1875,hug,Hug1_p,positive
2,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,565545.5625,hug,Hug2_p,positive
3,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,812516.9375,hug,Hug3_p,Positive
4,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,424614.3125,Stroke,Str1_p,Positive
5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,473002.96875,Stroke,Str2_p,Positive
6,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,217687.109375,Hold,Hold1_p,Positive
7,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,314558.4375,Tap,Tap1_neu,Neutral
8,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,760854,Shake,sha1_n,Negative
9,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,763120.9375,Shake,Sha2_n,Negative
10,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1189401.125,Grip,Gri1_n,Negative
11,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,629315.5625,NwE,Nudg1_n,Negative
12,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,489682.03125,NwE,Nudg2_n,Negative
13,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,500807.75,Slap,Slap1_n,Negative
14,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,690974.125,hug,Hug1_p,positive
15,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,805395.3125,hug,Hug2_p,positive
16,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,568522.6875,hug,Hug3_p,Positive
17,2,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,431120.46875,Stroke,Str1_p,Positive
18,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,336711,Stroke,Str2_p,Positive
19,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,152450,Hold,Hold1_p,Positive
20,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,330645.125,Tap,Tap1_neu,Neutral
21,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,676182.375,Shake,sha1_n,Negative
22,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1051205.75,Shake,Sha2_n,Negative
23,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,736420.8125,Grip,Gri1_n,Negative
24,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,938574.0625,NwE,Nudg1_n,Negative
25,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,603202,NwE,Nudg2_n,Negative
26,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,430352.125,Slap,Slap1_n,Negative
27,3,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,0,704244.8125,hug,Hug1_p,positive
28,3,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,486045.53125,hug,Hug2_p,positive
29,3,0,1,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,503206.28125,hug,Hug3_p,Positive
30,3,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,201012.84375,Stroke,Str1_p,Positive
31,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,337243.90625,Stroke,Str2_p,Positive
32,3,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,454823.625,Hold,Hold1_p,Positive
33,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,417026.625,Tap,Tap1_neu,Neutral
34,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,859423.1875,Shake,sha1_n,Negative
35,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,644659.875,Shake,Sha2_n,Negative
36,3,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,796883.3125,Grip,Gri1_n,Negative
37,3,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,694443.625,NwE,Nudg1_n,Negative
38,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,466756.125,NwE,Nudg2_n,Negative
39,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,387972.625,Slap,Slap1_n,Negative
